tol	lrberr_topdown	 lrberr_bottomup	lrberr_hmat
0.001	0.00046942332185475195	0.0004146550662146767	0.0008671788801604051
0.0001	4.778181193172634e-5	4.667314863617351e-5	8.56959649624466e-5
1.0e-5	4.707433660956226e-6	4.98117808175389e-6	1.0129556423360391e-5
1.0e-6	4.121494889515835e-7	6.23075217940237e-7	1.0021043402660338e-6
1.0e-7	3.939179652022363e-8	8.418530852403595e-8	9.843860336798313e-8
1.0e-8	3.841401815530748e-9	1.3683067900356962e-8	9.43272874191073e-9
1.0e-9	3.352143312178798e-10	2.503740706730544e-9	8.593007974855716e-10
1.0e-10	2.9864758369363435e-11	4.86046240625717e-10	7.654291631626699e-11

